,User_ID,Age,Gender,Location,Income,Interests,Last_Login_Days_Ago,Purchase_Frequency,Average_Order_Value,Total_Spending,Product_Category_Preference,Time_Spent_on_Site_Minutes,Pages_Viewed,Newsletter_Subscription
112,#113,45,Male,Suburban,34226,Technology,23,6,143,4264,Books,381,6,False
113,#114,24,Male,Urban,83646,Sports,8,5,38,3229,Apparel,73,18,True
114,#115,26,Male,Urban,80603,Food,21,7,135,3745,Home & Kitchen,516,16,False
115,#116,25,Male,Urban,48731,Food,2,4,162,2626,Health & Beauty,76,15,True
116,#117,29,Female,Urban,129458,Travel,5,0,192,2967,Books,77,48,False
117,#118,51,Female,Suburban,130384,Food,6,0,90,3616,Home & Kitchen,410,8,False
118,#119,50,Female,Urban,88926,Fashion,12,8,183,3467,Home & Kitchen,106,13,False
119,#120,40,Female,Urban,25997,Food,18,9,161,2294,Home & Kitchen,551,43,True
120,#121,41,Female,Suburban,75506,Travel,22,5,84,3655,Electronics,476,7,True
121,#122,54,Male,Suburban,98229,Sports,22,9,35,545,Books,275,17,True
122,#123,52,Male,Rural,69815,Sports,1,4,136,3726,Home & Kitchen,88,32,True
123,#124,61,Female,Suburban,62092,Food,17,0,124,4116,Books,77,22,False
124,#125,57,Male,Suburban,82539,Technology,11,5,135,3975,Home & Kitchen,77,13,False
125,#126,39,Female,Rural,86077,Sports,10,5,37,3437,Health & Beauty,442,47,True
126,#127,44,Female,Suburban,41817,Food,19,2,140,361,Health & Beauty,540,23,True
127,#128,52,Male,Suburban,57861,Travel,14,7,84,1948,Health & Beauty,245,29,True
128,#129,18,Male,Suburban,33428,Food,26,0,175,4125,Apparel,578,22,False
129,#130,52,Male,Suburban,63934,Sports,10,0,198,2366,Home & Kitchen,382,1,True
130,#131,54,Female,Rural,135555,Travel,15,5,87,191,Apparel,570,29,True
131,#132,64,Male,Suburban,134367,Food,28,9,188,4322,Books,142,48,False
132,#133,31,Female,Suburban,30258,Fashion,19,0,99,4275,Apparel,368,5,True
133,#134,20,Female,Rural,77775,Travel,4,5,185,3409,Books,84,35,False
134,#135,18,Female,Urban,101580,Fashion,2,0,30,1082,Books,143,10,False
135,#136,22,Male,Rural,114947,Technology,9,5,63,3543,Books,352,19,False
136,#137,43,Male,Urban,25469,Travel,10,2,193,2633,Apparel,545,37,False
137,#138,31,Female,Rural,48854,Fashion,28,7,112,793,Home & Kitchen,152,7,False
138,#139,56,Male,Rural,26256,Sports,11,5,68,4220,Apparel,158,46,True
139,#140,44,Male,Suburban,144086,Sports,14,0,81,255,Home & Kitchen,446,35,True
140,#141,26,Male,Urban,96256,Technology,7,4,188,3688,Home & Kitchen,303,45,False
141,#142,32,Female,Suburban,53937,Travel,23,7,29,1912,Books,450,13,False
142,#143,32,Female,Urban,119134,Travel,15,2,121,4214,Apparel,224,10,True
143,#144,43,Male,Rural,21651,Travel,22,5,68,1507,Home & Kitchen,43,2,True
144,#145,59,Female,Rural,70288,Technology,19,4,80,1316,Health & Beauty,264,6,False
145,#146,30,Male,Urban,104730,Travel,22,5,146,1510,Home & Kitchen,3,8,True
146,#147,49,Male,Suburban,45051,Sports,15,9,118,3597,Health & Beauty,268,36,True
147,#148,56,Male,Suburban,47386,Fashion,28,0,138,4472,Apparel,596,25,False
148,#149,49,Male,Suburban,95054,Sports,24,6,166,4940,Apparel,16,44,True
149,#150,21,Female,Suburban,131562,Sports,8,8,65,651,Apparel,334,47,True
150,#151,47,Female,Rural,36184,Fashion,11,1,44,3494,Home & Kitchen,464,40,True
151,#152,54,Female,Rural,53787,Sports,29,9,132,1276,Electronics,59,7,True
152,#153,40,Male,Rural,41621,Technology,9,4,140,4834,Home & Kitchen,177,46,False
153,#154,56,Male,Rural,95564,Fashion,15,9,113,4432,Home & Kitchen,63,23,True
154,#155,62,Male,Rural,97984,Sports,1,3,16,1097,Books,561,19,False
155,#156,32,Female,Suburban,79792,Food,1,5,36,4176,Books,307,46,True
156,#157,60,Male,Suburban,65253,Sports,19,5,10,2831,Home & Kitchen,246,22,False
157,#158,46,Female,Suburban,54051,Technology,3,1,181,4037,Health & Beauty,289,13,False
158,#159,53,Female,Suburban,69811,Travel,10,1,96,4152,Books,332,21,True
159,#160,30,Female,Rural,50447,Sports,8,3,50,472,Home & Kitchen,527,1,False
160,#161,49,Female,Rural,148046,Travel,15,0,132,2348,Electronics,255,19,False
161,#162,24,Female,Rural,103930,Food,10,8,84,948,Health & Beauty,510,33,False
162,#163,39,Female,Urban,143278,Sports,1,6,51,2656,Apparel,463,4,False
163,#164,45,Male,Suburban,120037,Fashion,29,6,126,2422,Home & Kitchen,199,42,False
164,#165,19,Male,Suburban,50254,Travel,18,2,170,603,Home & Kitchen,271,3,True
165,#166,59,Female,Rural,104045,Food,2,2,187,3289,Health & Beauty,558,27,False
166,#167,62,Female,Suburban,136859,Fashion,19,0,72,802,Books,64,41,False
167,#168,23,Male,Suburban,77418,Fashion,13,2,174,3725,Books,230,35,True
168,#169,45,Female,Rural,134534,Fashion,22,2,196,414,Books,249,28,True
169,#170,45,Female,Urban,34472,Fashion,1,3,136,2476,Apparel,246,6,False
170,#171,61,Male,Urban,131193,Sports,2,3,185,1140,Health & Beauty,587,6,True
171,#172,61,Female,Urban,23471,Sports,29,2,142,4478,Health & Beauty,157,44,True
172,#173,37,Female,Rural,127332,Sports,16,9,57,3090,Books,564,23,True
173,#174,47,Female,Suburban,140312,Food,15,7,12,357,Books,88,33,True
174,#175,28,Male,Rural,143379,Food,13,7,125,674,Electronics,313,16,True
175,#176,45,Male,Rural,115804,Food,16,0,184,4769,Electronics,66,24,True
176,#177,42,Male,Suburban,28329,Technology,17,6,199,1652,Home & Kitchen,20,5,False
177,#178,56,Female,Urban,54865,Food,21,1,108,4618,Home & Kitchen,33,41,False
178,#179,50,Female,Urban,66850,Sports,29,0,125,857,Health & Beauty,558,42,True
179,#180,18,Male,Rural,74220,Sports,29,2,23,2910,Health & Beauty,73,13,True
180,#181,44,Female,Urban,132234,Technology,7,3,121,1204,Apparel,343,47,False
181,#182,30,Female,Rural,113808,Technology,24,5,70,4624,Apparel,133,12,True
182,#183,58,Female,Rural,128381,Food,26,9,168,3559,Electronics,55,5,False
183,#184,20,Female,Suburban,26397,Travel,17,4,104,4092,Home & Kitchen,61,37,True
184,#185,56,Female,Suburban,117909,Technology,7,3,26,303,Electronics,520,31,False
185,#186,23,Male,Suburban,149004,Fashion,13,7,133,2875,Electronics,272,28,False
186,#187,25,Female,Rural,55525,Sports,5,3,33,2432,Home & Kitchen,246,28,True
187,#188,44,Male,Suburban,73072,Fashion,26,9,125,2092,Apparel,176,30,True
188,#189,26,Female,Urban,110106,Sports,17,1,160,2343,Home & Kitchen,317,18,True
189,#190,54,Male,Urban,103820,Sports,3,2,91,406,Books,131,44,True
190,#191,50,Female,Rural,104530,Technology,7,5,59,1787,Books,102,27,False
191,#192,59,Male,Rural,43284,Technology,26,7,88,4209,Books,310,35,True
192,#193,61,Female,Suburban,81330,Fashion,17,7,88,1960,Health & Beauty,292,26,False
193,#194,41,Male,Rural,103369,Sports,7,8,79,2061,Apparel,495,39,True
194,#195,32,Female,Rural,45122,Fashion,21,6,36,822,Apparel,361,49,False
195,#196,49,Male,Urban,90553,Travel,1,1,24,879,Health & Beauty,338,18,True
196,#197,49,Female,Urban,101906,Fashion,17,7,59,628,Electronics,579,33,True
197,#198,41,Male,Suburban,114788,Food,17,6,45,4993,Books,10,25,False
198,#199,58,Male,Rural,82812,Fashion,11,7,17,443,Books,49,31,True
199,#200,29,Female,Rural,27999,Food,25,2,88,3886,Electronics,487,37,True
200,#201,56,Female,Urban,42436,Food,27,6,140,3782,Home & Kitchen,321,2,True
201,#202,19,Male,Rural,62963,Food,29,9,199,308,Home & Kitchen,569,33,True
202,#203,20,Female,Urban,22096,Travel,3,8,56,4836,Apparel,133,39,True
203,#204,54,Male,Suburban,149940,Fashion,15,2,114,3506,Health & Beauty,583,43,False
204,#205,34,Male,Urban,133737,Fashion,29,9,107,1411,Apparel,83,43,True
205,#206,19,Male,Rural,45279,Travel,21,5,105,2399,Home & Kitchen,57,32,False
206,#207,19,Female,Suburban,141092,Sports,11,1,198,3436,Electronics,376,18,True
207,#208,45,Male,Urban,128899,Technology,26,1,169,2047,Apparel,349,17,True
208,#209,40,Male,Urban,134245,Fashion,28,4,125,1019,Books,271,34,False
209,#210,54,Female,Suburban,46201,Technology,16,4,22,2144,Books,483,39,False
210,#211,49,Female,Suburban,39715,Travel,25,6,10,518,Electronics,111,7,False
211,#212,50,Female,Urban,49309,Sports,22,1,43,1849,Home & Kitchen,76,42,False
212,#213,18,Female,Rural,35078,Sports,28,6,199,2942,Books,158,35,False
213,#214,36,Male,Urban,76614,Sports,9,4,88,1199,Books,532,30,True
214,#215,19,Male,Suburban,25105,Travel,24,5,87,3492,Health & Beauty,329,12,False
215,#216,61,Male,Urban,137666,Food,24,7,130,2872,Apparel,122,35,False
216,#217,43,Male,Suburban,114848,Food,1,9,102,2580,Home & Kitchen,41,11,True
217,#218,49,Female,Suburban,22839,Technology,29,3,107,1645,Apparel,167,44,True
218,#219,23,Male,Rural,88920,Food,25,6,91,1170,Home & Kitchen,23,4,False
219,#220,49,Male,Suburban,63619,Food,22,5,168,1950,Books,279,25,False
220,#221,21,Female,Suburban,62821,Sports,16,9,162,4298,Health & Beauty,469,48,False
221,#222,28,Male,Rural,145736,Sports,9,1,47,3039,Apparel,400,32,True
222,#223,34,Male,Suburban,33493,Technology,19,7,23,2003,Books,9,20,False
223,#224,55,Male,Rural,37069,Fashion,12,9,145,778,Home & Kitchen,13,31,True
224,#225,41,Male,Rural,132443,Technology,19,8,100,1088,Apparel,52,4,True
225,#226,22,Male,Suburban,27531,Technology,22,4,63,2575,Apparel,209,38,True
226,#227,51,Male,Suburban,57051,Travel,9,9,139,1707,Books,550,47,True
227,#228,23,Female,Urban,27736,Travel,7,3,110,2969,Apparel,402,1,False
228,#229,39,Female,Rural,27710,Technology,14,5,98,1602,Health & Beauty,191,3,True
229,#230,28,Male,Urban,87155,Technology,29,7,65,1889,Health & Beauty,51,37,True
230,#231,33,Male,Suburban,33975,Technology,19,2,103,1525,Books,393,22,False
231,#232,50,Female,Urban,82424,Food,19,9,102,2540,Home & Kitchen,300,17,True
232,#233,26,Male,Rural,65603,Travel,2,0,93,2142,Books,196,14,False
233,#234,23,Male,Urban,43252,Technology,9,3,94,1378,Health & Beauty,417,41,True
234,#235,33,Male,Rural,100797,Sports,13,3,198,2694,Electronics,420,35,False
235,#236,46,Female,Suburban,21431,Sports,15,0,31,4789,Electronics,522,13,True
236,#237,20,Male,Suburban,94603,Food,3,8,44,2536,Apparel,356,35,True
237,#238,37,Female,Rural,57481,Food,11,2,25,3903,Apparel,148,43,False
238,#239,53,Male,Suburban,112573,Fashion,21,4,59,2305,Electronics,365,2,True
239,#240,36,Female,Suburban,29557,Fashion,14,5,131,1127,Health & Beauty,364,47,True
240,#241,43,Female,Suburban,94971,Fashion,25,7,137,3639,Apparel,402,13,False
241,#242,20,Male,Suburban,123302,Food,8,5,122,3583,Books,492,16,True
242,#243,36,Female,Rural,20162,Food,18,2,180,2341,Books,229,18,True
243,#244,37,Male,Urban,54742,Food,19,5,26,2865,Health & Beauty,575,7,False
244,#245,49,Female,Urban,39675,Sports,16,0,89,1273,Apparel,537,45,False
245,#246,24,Male,Suburban,93997,Food,2,3,195,3330,Books,268,36,False
246,#247,58,Male,Urban,37015,Sports,8,5,139,3450,Apparel,405,41,False
247,#248,50,Female,Urban,70057,Fashion,22,6,141,503,Apparel,11,30,False
248,#249,57,Male,Suburban,52591,Fashion,6,9,94,2825,Books,320,42,True
249,#250,56,Male,Suburban,113583,Fashion,12,2,176,3482,Electronics,126,41,False
250,#251,35,Female,Urban,146133,Technology,15,8,103,4263,Books,306,7,True
251,#252,57,Male,Rural,120318,Technology,25,6,143,187,Health & Beauty,511,15,False
252,#253,18,Male,Suburban,29833,Travel,8,0,90,1258,Home & Kitchen,89,40,True
253,#254,28,Female,Rural,27896,Travel,4,1,78,4373,Books,355,19,True
254,#255,45,Female,Urban,52972,Travel,15,0,78,2957,Apparel,352,43,False
255,#256,42,Male,Suburban,69733,Technology,28,8,157,1481,Apparel,14,37,True
256,#257,40,Male,Rural,140363,Technology,20,8,25,4781,Books,257,2,True
257,#258,48,Female,Suburban,61800,Travel,25,6,60,2164,Home & Kitchen,209,42,False
258,#259,47,Female,Urban,116044,Travel,17,9,114,2474,Books,281,48,False
259,#260,59,Male,Rural,25347,Food,13,2,174,417,Home & Kitchen,443,13,False
260,#261,52,Female,Urban,79063,Travel,18,4,179,1602,Home & Kitchen,389,40,False
261,#262,24,Male,Urban,115850,Food,2,3,194,2142,Health & Beauty,483,41,True
262,#263,33,Male,Suburban,22643,Sports,13,6,75,4698,Apparel,147,43,True
263,#264,43,Male,Rural,60785,Technology,13,8,18,2122,Apparel,279,43,True
264,#265,19,Male,Urban,38681,Travel,22,1,116,218,Home & Kitchen,521,31,True
265,#266,18,Male,Urban,70026,Technology,15,7,109,809,Apparel,434,16,True
266,#267,29,Female,Rural,123864,Technology,20,8,95,3657,Electronics,144,42,True
267,#268,22,Female,Urban,35892,Technology,29,9,73,4240,Home & Kitchen,289,44,False
268,#269,54,Female,Urban,67299,Sports,27,9,31,4509,Apparel,386,6,True
269,#270,49,Female,Rural,37073,Fashion,10,8,171,3350,Electronics,14,28,True
270,#271,26,Male,Rural,122304,Travel,29,9,192,517,Health & Beauty,257,32,True
271,#272,58,Male,Rural,50682,Fashion,3,6,166,2703,Apparel,346,44,False
272,#273,52,Male,Rural,117798,Fashion,19,8,175,3954,Electronics,345,10,False
273,#274,36,Male,Suburban,146021,Fashion,3,8,119,1201,Books,400,18,False
274,#275,33,Female,Rural,116894,Technology,22,2,106,4521,Books,207,4,False
275,#276,20,Male,Suburban,144302,Food,14,3,27,3528,Electronics,172,9,True
276,#277,37,Male,Suburban,34289,Technology,8,1,80,2361,Home & Kitchen,464,7,True
277,#278,41,Female,Suburban,135359,Technology,27,9,136,4269,Home & Kitchen,270,8,True
278,#279,50,Female,Urban,27927,Fashion,23,2,106,3734,Apparel,221,43,False
279,#280,41,Female,Suburban,68330,Technology,4,4,10,608,Books,152,7,True
280,#281,28,Female,Suburban,86707,Fashion,27,4,141,2479,Home & Kitchen,183,41,True
281,#282,25,Male,Urban,140279,Food,28,5,13,3264,Home & Kitchen,399,40,True
282,#283,53,Male,Urban,97454,Travel,20,6,134,787,Books,72,3,False
283,#284,55,Female,Urban,127439,Fashion,11,6,91,4852,Health & Beauty,418,17,False
284,#285,57,Male,Rural,124646,Food,26,0,36,1392,Home & Kitchen,283,2,False
285,#286,37,Male,Urban,85428,Travel,11,1,180,4005,Electronics,74,15,True
286,#287,52,Male,Urban,70601,Sports,27,8,68,3175,Apparel,355,46,True
287,#288,42,Female,Suburban,97465,Fashion,11,9,41,3309,Home & Kitchen,497,29,True
288,#289,52,Male,Urban,22539,Fashion,2,1,170,424,Home & Kitchen,328,48,True
289,#290,42,Female,Rural,122263,Sports,17,5,37,2093,Health & Beauty,535,22,False
290,#291,46,Male,Urban,131487,Sports,9,0,115,4076,Electronics,580,4,True
291,#292,35,Male,Rural,42669,Fashion,28,2,114,4912,Apparel,447,6,False
292,#293,63,Male,Urban,90968,Sports,28,1,192,2870,Home & Kitchen,373,38,True
293,#294,35,Female,Urban,40644,Technology,2,2,197,4472,Apparel,362,26,False
294,#295,19,Male,Urban,38745,Travel,29,4,79,2683,Books,93,11,True
295,#296,52,Female,Urban,140852,Travel,24,9,71,3657,Home & Kitchen,321,26,True
296,#297,33,Female,Rural,148081,Travel,15,5,43,3687,Home & Kitchen,324,17,False
297,#298,58,Female,Rural,48228,Technology,16,8,96,251,Books,384,24,False
298,#299,53,Male,Suburban,138358,Sports,25,9,123,1054,Health & Beauty,575,28,True
299,#300,50,Male,Rural,54521,Food,4,3,115,4454,Home & Kitchen,346,35,True
300,#301,21,Male,Urban,142788,Sports,8,6,65,2471,Apparel,103,31,True
301,#302,50,Male,Suburban,117239,Fashion,9,5,122,1291,Electronics,215,13,False
302,#303,31,Female,Suburban,46928,Travel,26,1,22,787,Apparel,192,35,True
303,#304,38,Female,Suburban,38322,Sports,26,9,193,409,Health & Beauty,194,16,False
304,#305,37,Female,Urban,77714,Food,5,7,27,1602,Electronics,380,15,True
305,#306,25,Male,Rural,107896,Fashion,16,6,191,3227,Apparel,403,43,True
306,#307,24,Female,Urban,82292,Technology,13,6,122,4668,Apparel,11,18,True
307,#308,20,Male,Suburban,49055,Technology,7,7,180,3467,Books,187,47,True
308,#309,34,Female,Urban,62891,Food,26,0,48,3495,Health & Beauty,15,37,False
309,#310,50,Male,Urban,101912,Fashion,20,0,198,913,Books,297,48,False
310,#311,29,Male,Rural,26588,Travel,17,7,179,945,Electronics,411,48,True
311,#312,39,Female,Rural,110536,Sports,3,3,88,1264,Books,585,49,True
312,#313,39,Female,Suburban,26304,Fashion,5,4,155,4862,Health & Beauty,52,41,True
313,#314,63,Female,Urban,27345,Technology,19,7,160,1867,Home & Kitchen,28,27,False
314,#315,47,Female,Urban,49300,Food,12,4,191,454,Home & Kitchen,577,35,True
315,#316,55,Male,Rural,44259,Food,29,9,39,1972,Electronics,17,45,False
316,#317,55,Female,Urban,111006,Sports,27,3,107,2124,Home & Kitchen,351,35,False
317,#318,62,Female,Urban,108553,Food,7,5,67,2917,Books,428,28,False
318,#319,25,Female,Urban,35352,Food,28,4,76,3932,Electronics,229,39,False
319,#320,44,Male,Rural,149350,Fashion,9,6,80,4375,Health & Beauty,210,38,True
320,#321,44,Male,Suburban,53365,Travel,28,9,155,165,Electronics,431,9,True
321,#322,51,Female,Suburban,39446,Sports,6,6,115,4366,Electronics,294,12,False
322,#323,38,Male,Urban,22336,Fashion,29,3,16,4190,Apparel,582,15,True
323,#324,47,Female,Suburban,82032,Travel,26,4,49,2621,Apparel,104,21,True
324,#325,50,Male,Rural,95415,Fashion,17,2,79,2681,Electronics,204,35,True
325,#326,45,Male,Rural,117852,Fashion,16,3,77,1490,Home & Kitchen,53,42,False
326,#327,64,Male,Suburban,118876,Food,23,3,58,1230,Apparel,375,33,True
